SM_name,SM_type,specific_energy,mu_total,specific_price,price_sources,SM_sources,C_kwh
CH4 (LRC),synfuel,15.919715763884563,16.043,7.387825021484375,Cavern Calculations,Cavern Calculations,0.4640676461224503
CH4 (Pipes),synfuel,15.919715763884563,16.043,75.75,Cavern Calculations,Cavern Calculations,4.758250783085356
CH4 (Salt),synfuel,15.919715763884563,16.043,1.970336296875,Cavern Calculations,Cavern Calculations,0.12376705250887086
H2 (LRC),synfuel,32.68849206349206,2.016,59.10260017187501,Cavern Calculations,Cavern Calculations,1.8080552647420338
H2 (Pipes),synfuel,32.68849206349206,2.016,606.0,Cavern Calculations,Cavern Calculations,18.53863429438543
H2 (Salt),synfuel,32.68849206349206,2.016,15.762690375,Cavern Calculations,Cavern Calculations,0.48220916230652505
Synthetic CH4 (Feedstock),synfuel,2.2004152702271926,116.069,0.01578733339651414,"0 : Knighton 2020, 1 : Li 2017",Standard Gibbs,0.007174706342991385
Synthetic H2 (Feedstock),synfuel,3.6580627255065226,18.015,0.001,0 : Li 2017,Standard Gibbs,0.0002733687405159332
Synthetic Methanol (Feedstock),synfuel,1.9611642564301304,98.054,0.0185041405756012,"0 : Knighton 2020, 1 : Li 2017",Standard Gibbs,0.009435283411336454
Ba(OH)2/BaO,thermochemical,0.1515194444444444,171.341,0.45,"Alibaba (Bulk), Alibaba (Manual Search)",Andre 2016,2.9699158523841835
BaCO3/BaO,thermochemical,0.2323888888888889,197.335,0.3295454545454545,Alibaba (Manual Search),Andre 2016,1.4180774998370023
BaO2/BaO,thermochemical,0.1201666666666666,153.326,0.3,Alibaba (Manual Search),Andre 2016,2.4965325936199734
Be(OH)2/BeO,thermochemical,0.3308333333333333,,,,Andre 2016,
Ca(OH)2/CaO,thermochemical,0.3755555555555555,,,,Andre 2016,
CaCO3/CaO,thermochemical,0.4602222222222222,100.086,1.1525,"Alibaba (Bulk), Alva 2018, Chem Central, Echemi",Andre 2016,2.5042250120714633
Cd(OH)2/CdO,thermochemical,0.1137222222222222,163.435,6.715,"Alibaba (Bulk), Alibaba (Manual Entry), Li 2017",Andre 2016,59.04738641914999
CdCO3/CdO,thermochemical,0.1555833333333333,172.422,0.5,"Alibaba (Bulk), Alibaba (Manual Entry)",Andre 2016,3.2137118371719344
CdSO4/CdO,thermochemical,0.4723611111111111,,,,Andre 2016,
Co3O4/CoO,thermochemical,0.2266944444444444,240.795582,17.18,"Alibaba (Bulk), ISE",Andre 2016,75.78483029040561
CoSO4/CoO,thermochemical,0.5906388888888889,154.989194,7.6858,"Alibaba (Bulk), ISE",Andre 2016,13.012688708084466
Cr5O12/Cr2O3,thermochemical,0.0775277777777777,151.9892,1.5,"Alibaba (Bulk), Alibaba (Manual Search)",Andre 2016,19.347903977069173
CuO/Cu2O,thermochemical,0.2250555555555555,79.545,17.8,Alibaba (Manual Search),Andre 2016,79.09158232535178
CuSO4/CuO,thermochemical,0.52275,159.602,1.372,"Alibaba (Bulk), Alibaba (Manual Search), Li 2017",Andre 2016,2.6245815399330463
Fe2O3/Fe3O4,thermochemical,0.1348888888888889,159.687,0.122,"Alibaba (Bulk), Olympios 2021, USGS",Andre 2016,0.9044481054365733
FeSO4/FeO,thermochemical,0.6332722222222222,151.901,0.1021571428571428,"Alibaba (Bulk), Alibaba (Manual Search)",Andre 2016,0.16131631748928144
Li2O2/Li2O,thermochemical,0.2071944444444444,,,,Andre 2016,
Mg(OH)2/MgO,thermochemical,0.3702777777777777,58.319,0.73375,Alibaba (Manual Search),Andre 2016,1.9816204051012758
MgCO3/MgO,thermochemical,0.3261111111111111,84.313,0.9694715,"Alibaba (Bulk), Alibaba (Manual Search)",Andre 2016,2.9728257240204434
MgO2/MgO,thermochemical,0.1057222222222222,40.304,0.135,"Alibaba (Bulk), Alibaba (Manual Search), Steinmann 2022",Andre 2016,1.2769311613242251
MgSO4/MgO,thermochemical,0.8048611111111111,120.361,6.906071428571428,"Alibaba (Bulk), Alva 2018",Andre 2016,8.580451127819547
Mn(OH)2/MnO,thermochemical,0.2094444444444444,,,,Andre 2016,
Mn2O3/Mn3O4,thermochemical,0.0528055555555555,,,,Andre 2016,
Mn3O4/MnO,thermochemical,0.2362777777777777,86.936043,1.562125,"Alibaba (Bulk), Alibaba (Manual Search), ISE, Li 2017",Andre 2016,6.611391958617449
MnSO4/MnO,thermochemical,0.65825,150.994043,0.66875,"Alibaba (Bulk), ISE",Andre 2016,1.0159513862514242
Ni(OH)2/NiO,thermochemical,0.1433333333333333,92.7074,7.0,"Alibaba (Bulk), Alibaba (Manual Search), Li 2017",Andre 2016,48.83720930232559
NiSO4/NiO,thermochemical,0.3998333333333334,154.7494,3.362034375,Alibaba (Manual Search),Andre 2016,8.408589516465193
PbCO3/PbO,thermochemical,0.0872222222222222,267.208,0.136,Alibaba (Manual Search),Andre 2016,1.5592356687898095
PbO2/PbO,thermochemical,0.0641388888888888,223.199,2.7,Alibaba (Manual Search),Andre 2016,42.09614551754012
PtO2/PtO,thermochemical,0.0768055555555555,,,,Andre 2016,
Rh2O3/Rh2O,thermochemical,0.2728055555555556,,,,Andre 2016,
Sb2O5/SbO2,thermochemical,0.0584444444444444,,,,Andre 2016,
Sr(OH)2/SrO,thermochemical,0.2023055555555555,121.634,1.3,Alibaba (Manual Search),Andre 2016,6.425923383221202
SrCO3/SrO,thermochemical,0.3807361111111111,147.628,1.1286504545454543,"Alibaba (Bulk), Alibaba (Manual Search)",Andre 2016,2.9643903522880644
V2O5/V2O4,thermochemical,0.2696944444444444,181.878,20.30537029495808,"ISE, SMM",Andre 2016,75.29028021613874
Zn(OH)2/ZnO,thermochemical,0.1386,99.394,1.0,Alibaba (Manual Entry),Andre 2016,7.215007215007215
ZnCO3/ZnO,thermochemical,0.1513611111111111,,,,Andre 2016,
ZnSO4/ZnO,thermochemical,0.4911666666666667,161.436,0.7780285714285714,"Alibaba (Bulk), Alibaba (Manual Search)",Andre 2016,1.5840418827863685
(SPrN)2V/NH4[Fe(CN)6],flow_battery,0.0418983907796458,524.5342,3.394322434075795,"0 : Alibaba (Manual Entry), 1 : Alibaba (Manual Entry), Li 2017",Diez 2020,81.0131933688669
